doc_number,rating,text,summary_raw,review_raw,summary_tokens_length
50,3.0,"bad, design, works, button, layout, terrible, half, time, wrong, button, gets, pressed, annoying",bad design,It works but the button layout is terrible.  Half the time the wrong button gets pressed - annoying.,2
54,2.0,"new, gps, not_work, new, windows, brother, pre, ordered, out, road, arrived, asked, charge, update, play, fun, not, hear, brother, tools, device, awesome, looks, helpful, huge, screen, overall, seems, great, tool, problem, cannot, update, brand_new, computer, running, windows, bit, dell, studio, processor, reading, forums, contacting, rand_mcnally, learned, windows, not, send, enough, power, usb_ports, allow, tnd, go, connected, mode, plugged, computer, supposedly, problem, occurs, mostly, laptops, dell, systems, dell, pc, may, occur, models, well, rand_mcnally, send, helpful, email, problem, though, sounds, still, unsure, fixes, causes, problem, disappointed, brand_new, device, not_work, brand_new, operating_system, though, seems, nature, things, days, hoping, update, brother, xp, laptop, see, gets, back, home",New GPS doesn't work with new Windows 7,"My brother is a trucker and pre-ordered this.  He was out on the road when it arrived, so he asked me to charge it, update it, and play with it.  FUN!  I am not a trucker, but from what I hear from my brother, the tools on this device are awesome.  It looks like it would be very helpful for him.  The thing is huge, a 7"" screen!  Overall, this seems to be a great tool.

My problem with it is that it cannot update.  I have a brand new computer running Windows 7 64 bit.  It's a Dell Studio XPS 8100 (i5 processor).  After reading on forums and contacting Rand McNally, I have learned that Windows 7 does not send enough power to the USB ports to allow the TND 700 to go into ""connected"" mode when it's plugged in to a computer.  Supposedly this is a problem that occurs mostly with laptops and some Dell systems (""Dell Latitude or Inspiron PC (it may occur on other models as well)"").  Rand McNally send a very helpful email with some solutions to the problem, though it sounds like they are still unsure of all fixes or what causes the problem.  I am disappointed that a brand new device does not work with a brand new operating system, though that seems to be the nature of all things now-a-days.  I am hoping that it will update on my brother's XP laptop. we'll see when he gets back home.",5
55,1.0,"plug, falls, out, works_great, tape, plug, port, see, sale, than, works_fine",plug falls out,Works great when I tape up  the plug to the port. I see why this was for sale.  Other than that it works fine.,3
56,1.0,"not_buy, not_work, sure, seller, knew, shipped, out, cannot, used, words, manufacturer",Do not buy!,Did not work. I'm sure the seller knew this before he shipped it. Out dated and cannot be used at all. Those are words from the manufacturer.,1
57,2.0,"stars, no, years",Two Stars,No up dates after 3 years!,1
60,1.0,"major, issues, excuses, support, mine, year, tries, route, non, truck, routes, telling, truck, route, illegal, bad, problem, listed, according, gps, non, truck, route, route, city, instead, several, drivers, within, company, than, half, crashed, un, state, company, said, rand_mcnally, informed, gps, not, designed, say, long, period, time, really, truck, driver, gps, driver, dollar, due, gps, routing, wrong, road, companies, response, update, unit, mine, year, never, noticed, update, corrected, functionality, seem, keep, tools, want, gps, routes, wanted, tools, buy, software, computer, nice, rated, cars, actually, routes, better_than, rated","Major issues, only excuses for support","I've had mine for a year and here's what we got. It tries to route be down non truck routes while telling me the truck route is illegal for me. This is such a bad problem that even Interstate 25 in Denver Colorado is listed (according to this GPS) as a non- truck route and will route you through the city instead. There are several drivers within our company who own one and more than half (of about 50) have crashed to an un-recoverable state. Our company representative said that Rand McNally informed them that the GPS was not designed to say on for a long period of time. Really? it's a truck driver GPS. We have one driver with a $2400 dollar ticket due to this GPS routing him down the wrong road. The companies response was to update the unit. I've had mine for a year, I never noticed one update that corrected functionality, they only seem to keep messing the tools. I want a GPS that routes, if I wanted tools I'd buy software for my computer.

My suggestion is to by a nice Garmen. My one rated for cars actually routes me better than this one rated for trucks.

Wayne",4
62,2.0,"great, poor, gps, not, going, write, long, review, thought, unit, well, miles, done, routing, pretty, know, whats, fastest, using, basic, garmin, past, three_years, gps, unit, trouble, let, really, excited, unit, due, size, features, allot, great, screen, info, thats, basic, lacking, gps, tracking, gave, unit, allot, mistakes, due, fact, allot, cool, stuff, ability, track, route, not, close, basic, garmin, due, installed, tnd, years_old, example, needed, make, simple, route, change, town, next, street, due, fact, not_make, turn, street, blocked, take, tnd, upwards, seconds, minute, half, sitting, stop, light, waiting, directions, waiting, long, cars, not_make, happy, problem, happened, weather, simple, street, change, major, change, time, turned, unit, take, twice, long, boot, least, dozen, times, week, wrong, made, wrong, turn, self, lost, take, left, street, ones, drive, way, turn, left, turn, less_than, feet, away, might, think, city, situation, might, little, mixed, out, country, twice, course, made_sure, truck, setting, supposed, updated, os, version, via, rand_mcnally, expected, alot, out, unit, unit, field, tested, people, drive, allot, many, route, mistakes, going_back, basic, garmin, complaints, three, friends, bought, unit, complaints, us, returned, units","Great grafics, POOR GPS","Not going to write a long review, even thought this unit deserves one. I've driven well over 1-mil miles and done most of my own routing so I pretty know whats the fastest and shortest. Have been using a basic garmin for the past three years and with ANY Gps unit they'll ALL get you in trouble if you let them. I was really excited about this unit, due to the size and the features. Allot of great grafics and on screen info thats usefull. But the most basic item that it was lacking was the gps tracking. I gave this unit allot of leadway on its mistakes due to the fact that it had allot of cool stuff that it did, but its ability to track you and route you was not even close to what the basic garmin could due. Its like the prossesor that they installed in the TND 700 was 10 years old. Example if I needed to make a simple route change I.E. in town down to the next street due to the fact that I couldn't make the turn or the street was blocked off, it would take the TND 700 upwards of 45 seconds to a minute and a half to reroute me. Here I'm sitting at a stop light waiting for directions and waiting that long with cars on my backside didn't make me happy. This is a problem that happened evertime you had to reroute, weather it was a simple street change or a major highway change. Also from the time you turned the unit on it would take twice as long to boot itself up. At least a dozen times with in a week it put me on the wrong roads and when I made a wrong turn it got it self lost....I.E. take left on xyz street, and it was some ones drive way. Or turn left in 800 yards and the turn was less than 10 feet away. You might think in a conjested city situation I might get a little mixed up, but this is out in the country. Twice it put me under 12'6"" bridges when I'm 13'6"". Of course I made sure all my truck setting where they were supposed to be. I also updated the OS version,via Rand McNally. All in all I expected alot out of this unit and got a unit that should of been field tested with some people that drive allot. It just had to many route mistakes. Going back to the basic garmin. This isn't just my complaints, I have three friends that bought the same unit and have the same complaints. All of us returned the units.",4
75,2.0,"read, books, seriously, wondering, read, books, everyone_else, began, reading, high, hopes, great, thrillers, based, reviews, sorely, disappointed, first, sentence, many, sounding, written, eight, year_old, ill, effort, humor, protagonist, comes, self, third, many, spelling, grammatical, errors, kindle, edition, accept, instead, except, twice, way, wanted, take, red, pen, edit, book, books, made, interesting, read, second_book, big, soon, character, introduced, overall, not_impressed, read, third, book, see, story, goes",did i read the same books?!,"I am seriously wondering if I read the same books as everyone else.  I began reading with high hopes for two great thrillers based on other reviews, but I was sorely disappointed.  First of all, the sentence structure was choppy, with many sounding as of they were written by my eight year old.  Secondly, in an ill-conceived effort at humor, the protagonist comes off like a self-righteous jerk--and a sexist one at that.  Third, there were so many spelling and grammatical errors in the kindle edition (""accept"" instead of ""except""--twice, by the way...) that I wanted to take a red pen and edit the book myself!  Both books made for an interesting afternoon read, but the second book's big ""shocker"" I had pegged as soon as the character was introduced!  Overall, I was not impressed, but I will read the third book just to see where the story goes.",2
81,3.0,"writing, words, day, writers, crank, out, many, books, rain, always, amazed, amazed, mostly, read, books, nothing_wrong, reading, blood, ex, football, players, right, guys, okay, back, book, review, enjoy, often, well, reading, book, murder, quite, enjoyable, purchased, pack, found, book, next_book, disappointed, enjoy, three, pack","Writing about 6,782 words a day equals....","Writers who crank out as many books as Mr. Rain have always amazed me.  I am also amazed that mostly women read his books.  Nothing wrong with reading about blood suckers and ex-football players right guys?  Okay, I digress, back to the Knighthorse book review.  I enjoy sarcasm.  I employ it often and well.  Reading a book involving mayhem, murder and sarcasm is quite enjoyable.  I have purchased the 3-pack of Knighthorse and found a recurring theme in each book.  If the next book also has the sameness, I will be disappointed. I did enjoy the three pack.",4
82,4.0,"fun, books, well, told, stories, without, useless, details, scenes, not_really, books, fun, read, although, enjoyed, dark, author, line, story, almost, time, adds, fun, reading, stories, well, done",Fun & Lighthearted,"These two books have two very well told stories without killing you with useless details or scenes that don't really contribute.  Both books were fun to read although I enjoyed Dark Horse the most.  The author has a knack for the ""one line zingers"" in each story and the charachters have cockiness about them that is almost comical, but at the same time, that adds to the fun of reading the stories.  Well Done!!",2
84,4.0,"four_stars, great",Four Stars,It's great,1
90,3.0,"exterior, point, view, look, great, slightly, quality, build, exterior, point, view, look, great, slightly, thick",Exterior point of view look great but slightly to,Very quality build. Exterior point of view look great but slightly to thick,6
111,3.0,"oem, charger, nook, hd, charges, dead, nook, hours, lot, heat, compared, wall, dual, charger, port, total, output, not, run, hot, use, power, pi, avoid, needing, powered_hub, job, designed, hot, always, unplug, not, using, though, cools, amount, heat, made, nook_hd, runs, hot, too, right, hold, left_side, portrait, not, much, charging, guess, better, plug",This is the oem charger you get with the nook hd+,"It does 2A and charges a DEAD Nook in a few hours. It does so with a LOT of heat, compared to most wall worts. I have a dual charger where 1 port is 2.1A and the other is 1A for total output of 3.1A that doesn't run as hot as this. And i use that to power a raspberry pi to avoid needing a powered hub

It does the job adequately as it's designed to. Just hot. I would always unplug it if not using (even though it cools off) because of the amount of heat made. The nook hd+ runs hot too right where you hold it on the left side in portrait, but not so much when charging. I guess it's better to have it at the plug.",4
112,4.0,"good, replacement, works_well, little, pricey, think, charging, cable, not, losing, original, lot, cheaper_than, replacement",Good replacement,"Works well, a little pricey I think for a charging cable, but then again, not losing the original would be a lot cheaper than any replacement",2
113,5.0,"works_great, son, hd, charger, cord, needed, another, exactly, son, destroyed",Works Great,"My son crewed my HD charger cord so I needed another one, this is exactly like the one my son destroyed.",1
115,2.0,"good_enough, charge, wipe, older, nook, buy, newer, tablet, bought, thinking, great, replacement, worn, power, cable, charged, nook_hd, son, nook, weeks, son, said, stopped_working, sure, enough, not, months, use, out, though, original, cable, came, oem, box, ended, mom, charger, charging, nook_hd, wiped, device, nook_app, generic, samsung, tablet, nook_hd, still_works, given, new, android, lack, third_party, chargers, last_long, original, fact, barnes_noble, no_longer, supports, cannot_see, keeping, longer, newer, tablets, faster",Good enough to charge and wipe an older nook before you buy a newer tablet.,"I bought this thinking it would be a great replacement for my worn power cable.  It charged my nook HD+ and my son's nook for a few weeks and then my son said it stopped working.  Sure enough, I did not even get 6 months of use out of it even though it was an original cable (it came in an OEM box).

I ended up borrowing my mom's charger and charging my Nook HD+.  I then wiped the device and will put the Nook app on a generic Samsung tablet.  My Nook HD+ still works, but given all of the new Android exploits, lack of third party chargers that can last as long as the original, and the fact Barnes and Noble no longer supports it I cannot see keeping it any longer when newer tablets are faster.",8
118,4.0,"works, costs, generic, usb, wall, chargers, work, nook, usb, works, ordering, great, short, buying_new, nook, replacing, kindle, best, short, term, option, original, plug, part, made, sound, night, stopped_working, husband, tried, plug, usb, plug, wall, chargers, around, house, none, worked, must, proprietary, nook, let, use, generic, wall, chargers, really, not, use, nook, weeks, contemplating, purchasing, nook, may, take","It works, but it costs $30!  Generic USB wall chargers won't work with Nook's USB.","It works!  I was skeptical about ordering it because the ratings weren't great, but short of buying a new Nook or replacing it with a Kindle,  it was the best short-term option.  The original plug-in part made a sizzling sound one night and stopped working.  My husband tried to plug the USB end into one of about 20 USB to plug-in wall chargers that we have around the house and none of them worked.  We're assuming there must be some proprietary thing with the Nook USB end that won't let you use generic wall chargers which really sucked because he couldn't use his Nook for weeks.  If you are contemplating purchasing a Nook,  it may be something to take into consideration.",9
133,5.0,"five_stars, no, everything, expected",Five Stars,No worries! Everything as expected!,1
141,5.0,"five_stars, nook, working",Five Stars,My nook is working again!  Yay!,1
143,3.0,"exactly, expected, purchased, mother, since, lost, original, charger, wanted, another, oem, adapter, glad, find, usb, adapters, cheaper, works_fine, overpriced",Exactly as expected,"Purchased for my mother since she lost her original charger.  She wanted another OEM adapter, so I was glad to find one even if equally serviceable usb adapters can be had for cheaper.  Works fine, just overpriced.",2
145,1.0,"stopped_working, months, use, stopped_working, months, use, return_policy, cannot, replacement, pay, ridiculous",STOPPED WORKING AFTER ONLY 2. 5 MONTHS OF USE ...,"STOPPED WORKING AFTER ONLY 2.5 MONTHS OF USE. And because of the return policy I cannot get a replacement unless I pay for it!

Ridiculous.",3
153,4.0,"works_well, notice, works_well, notice, not, plug, directly, nook, makes, noise",Works very well. I do notice that when you ...,Works very well.  I do notice that when you do not plug it directly into your nook it makes a noise.,2
162,5.0,"great, time, great, products",GREAT,On TIME! GREAT PRODUCTS,1
163,5.0,"five_stars, works_great",Five Stars,works great,1
166,5.0,"gives, juice, needs, ac_adapter, worked, out, fine, recommended, thank",Gives my NOOKY the juice it needs!,"This AC adapter worked out just fine and as it should!

Recommended.  Thank you.",4
174,4.0,"four_stars, works_fine, nook",Four Stars,Works fine for the Nook!,1
180,4.0,"nice, easy, use, accessory, adapter, easily, connects, nook_hd, hdtv, hdmi_cable, good, traveling, makes, tv, potential, smart, tv, long, accessible, hdmi, port, good, sharing, photos, bigger, screen, bit, pricey, good, accessory, sure, note, nook_hd, hd, series, not_work, standard, nook",A nice easy to use accessory.,"This adapter easily connects my Nook HD 7"" to my HDTV through the HDMI cable.  This is good for traveling because it makes any hotel TV a potential smart TV so long as there is an accessible HDMI port.  It is also good for sharing photos from FB on a bigger screen. A bit pricey, but a good accessory to have.  Be sure to note that this is ONLY for the Nook HD and HD+ series.  It will not work with a standard Nook.",4
192,2.0,"stars, not, great, contact",Two Stars,Doesn't get great contact.,1
198,3.0,"nook, advertised, replaced, lost, nook, charger, cord",Workde for Nook,As advertised.  Replaced lost Nook charger cord.,2
210,2.0,"stars, decent, case, still, little, bulky",Two Stars,"A decent case, but still a little bulky.",1
225,3.0,"three_stars, cheap",Three Stars,Very cheap,1
231,2.0,"stars, cute, expecting, little, picture, shows, bummer",Two Stars,It is cute.. But I was expecting a little more from what the picture shows. Bummer.,1
232,3.0,"three_stars, looks, better, line, than, actual, camera, photo, album, still, nice",Three Stars,Looks better on line than the actual camera photo album - Still nice!,1
238,4.0,"make, fun, gift, cute, expected, make, fun, gift",Will make a fun gift.,Cute! Was what I expected. Will make a fun gift.,3
253,2.0,"warning, language, shock, started, reading, none, reviews, mentioned, filled",Warning! Explicit erotic language.,What a shock I had when I started reading this.  None of the reviews mentioned that this was filled with erotica.,4
255,2.0,"meh, not_impressed, books, though, enjoyed, previous, novels, possible, not, length, romance, not, read, often, three, books, especially, first, than, romance, not, expecting, feel, focus, too_much, sex, not, enough, characters, romance, sex, scenes, long, drawn, out, characters, spent, little, time, outside, sex, not, romance, novels, time, felt, movies, try, plot, really, bother, people, watch, sex, lot, plot, character, depth, found, vampires, extremely, boring, true, blood, vampires, vampires, out, open, blood, called, hmmmmm, than, not, act, vampires, vampires, little_bit, little, edge, vampires, preferred, not, vampires, stories, probably, much_better, not_really, recommend, book, romance, trilogy, much_better, fell, flat",Meh,"I was not very impressed with these books, though I have enjoyed previous Heidi Betts novels. It's possible I just don't like a novella length romance - I do not read them often. Also, these three books (especially the first two) were more erotica than romance, which I was not expecting.

I feel like the focus was too much on sex and not enough on the characters and forging a romance. The sex scenes were very long and drawn out, and the characters spent very little time interacting with each other outside of the sex. I am not prudish - I like my romance novels to have sexy time in them - but this just felt like those porno movies that try to have a plot but really shouldn't bother because people only watch them for the sex. There wasn't a lot of plot or character depth here.

Also, I found Betts' vampires to be extremely boring. It's like True Blood vampires Disneyfied. Her vampires are out in the open publicly and drink synthetic blood called ""NuBlood"" (hmmmmm). Other than that, they don't act like vampires at all. I like my vampires to have a little bit of bloodlust, a little edge... Eric Northman is sexy, these vampires were just BLAH. I would have preferred them to not even BE vampires and the stories would probably have been much better.

I wouldn't really recommend this book - her knitting romance trilogy was much better. This just fell flat for me.",1
256,2.0,"ok, final, story, end, lacking, woman, works, hard, making, everyone_else, come, true, story, flat, really, picture, front, cover, though",ok,"The final story at the end was just lacking. The woman works so hard making everyone else's dreams come true and then her story was just flat. I really like the picture on the front cover, though.",1
274,4.0,"not, sparrow, falls, mary, tired, living, life, woman, time, out, back, shop, making, another, man, mary, knows, matter, time, man, makes, move, neither, man, mary, money, maybe, know, run, away, give, enough, buy, supplies, make, no, finally, mary, knows, time, come, around, finds, cash, drug, deals, runs, away, stealing, pick, truck, truck, town, takes, bus, takes, mother, identity, finds, shadow, decades, old, little, girl, needs, mary, help, mary, hopes, help, past, stay, hidden, long_enough, give, hope, give, not, sparrow, falls, originally, published, back, fairly, positive, read, not, write, review, book, seems, mary, desperate, woman, tired, living, life, wrong, side, law, yet, knowing, too_far, gone, return, knew, story, well, told, not, dark, stories, read, hope, story, darkness, beginning, know, somehow, mary, able, out, story, first_time, want, skip, pick, copy, not, sparrow, falls, story, hope",Not a Sparrow Falls,"Mary Bridget Washburn is tired of living life as a druggie's woman. Her boyfriend spends all his time out in the back shop making ""candy"" and another man has been eyeing her. Mary knows its just a matter of time before this other man makes his move.
But neither man trusts Mary with money. Maybe they know if she has any she'll run away. They just give her enough to buy supplies to make meth and no more.

Finally Mary knows the time as come. She hunts around the rusting trailer until she finds the stash of cash from the drug deals, and then runs away, stealing their pick up truck. She abandons the truck in town, and takes a bus to Alexandria, Virginia, where she takes on her mother's identity and finds sanctuary in the shadow of a decades-old church.

But then a little girl needs Mary's help, and Mary hopes to help them. Can her past stay hidden long enough for her to give the hope she longs to give?

NOT A SPARROW FALLS was originally published back in 2002, and I'm fairly positive that I read it then, but if I did I didn't write a review. The book seems very familiar to me. Mary is a desperate woman, tired of living a life on the wrong side of the law, and yet knowing she is too far gone to return to her roots and the innocence she once knew.

The story is very well told, and not so dark as other stories I've read. There is an undercurrent of hope in this story, even in the darkness of the beginning, so you  know that somehow Mary will be able to dig herself out of the pit she's in. If you missed this story the first time, you won't want to skip it now. Pick up your copy of NOT A SPARROW FALLS for an uplifting story of hope.",3
