doc_number;rating;text;summary_raw;review_raw;summary_tokens_length;rating_0
671805;5;five_stars, great, little, charger;Five Stars;Great little charger;1;4
6513611;5;bag, great, well_made, definitely_recommend, bag, great, well_made, definitely_recommend, anyone_looking, small, slim, briefcase;This bag is great. Well made and I definitely would recommend it ...;This bag is great. Well made and I definitely would recommend it to anyone looking for a small, slim briefcase.;4;4
5422151;5;well_built, sturdy, tablet, stand, perfect, desktops, tried, different, tablet, stands, purchasing, taotronics, issues, flimsiness, different_brand, products, give, found, finally, sturdy, tablet, stand, not, shake, around, time, model, well_built, lot, strength, hinges, stays, need, attachment, desk, takes_seconds, simple, screw, clamp_style, design, works, well, adjustable, tablet, functionality, useful, use, multiple, different, tablet, sizes, throughout, day, web_development, use, tablet, stand, perfect_compliment, development, efforts, versatility, makes, control, want, stand, view, desk, already, purchased, another, office_desk, recommend, product, peers, co_workers;Well-built and sturdy tablet stand - Perfect for desktops;"I tried a few different tablet stands before purchasing this one from TaoTronics. I had some issues with flimsiness on a different brand's products and was about to give up before I found this one. Finally a STURDY tablet stand that doesn't shake around all the time! This model is very well built and has a lot of strength with the hinges. It stays put where you need it to be. Also the attachment to the desk takes seconds and is a very simple screw/clamp style design that works well.

Also the adjustable tablet functionality is very useful as I use multiple different tablet sizes throughout the day for web development use. This tablet stand is the perfect compliment for my development efforts and the versatility makes it so I can control where I want it to stand in my view while at my desk. I've already purchased another for my office desk and will recommend this product to my peers and co-workers.";6;4
26393;4;job, nothing_fancy, bought, driver, semi_truck, good, solid, around, unit, needs, dispatcher, picking, loads;Does the job. Nothing fancy.;Bought this for my driver in my Semi-Truck. Good solid all around unit. All he needs it for is the dispatcher when picking up loads.;2;3
3575824;3;fence, flash, mixed_feelings, bought, back, flash, find, rechargeable_battery, dies, lot_quicker, lowering, power, versus, phottix, flash, external, battery, works, somewhat, flash, give, built, solid_performer;On the fence;This flash I have mixed feelings. I bought this as a back up flash. I find that rechargeable battery dies a lot quicker even when I am lowering the power versus my phottix flash. The external battery works somewhat with this flash. I will give it that it is built solid but as a performer its so so.;1;2
1348046;5;yup, eating, vomit, reusing, right, sense, reusable, not, buy, thinking, used, great, price, easy, apply, certainly, buy, mine, wear, out, use, year;yup;"eating your vomit is reusing right? In that sense these are reusable.
i didn't buy them thinking they could be used over and over.
great price and easy to apply.  i will certainly buy more when mine wear out.
i use about 3 a year.";1;4
4943891;5;way, framed, totally, pleased;The way to get framed.;Totally pleased.;2;4
2071450;5;sounds, great, wow, really, packs_punch, easy, setup, sonos, products;Sounds great.;Wow, this thing really packs a punch and was very easy to setup just like all Sonos products.;2;4
122903;5;bose, stereo, loudspeakers, pair, speakers, sound, pretty_good, must, enough, power, push, speakers, surprised, well, sound, recommend;BOSE 201-V Stereo Loudspeakers (Pair);These speakers sound pretty good.  You must have enough power to push these speakers, but I was surprised at how well they sound.  I recommend them.;4;4
6642297;5;works, great, works_great;WORKS GREAT;THIS WORKS GREAT.;2;4
4024298;4;great, cooling_pad, laptop, cooler, great, big_fan, sturdy, base, easy, hub, port, use, use, charging, small, items, ipod, plug, external_hard, drive, need, make_sure, unplug, every_time, turn, laptop, cooling_pad, usb_hub, not, gently, turn, external_hard, drive, correctly, lost, everything, knowing, think, great, cooling_pad, hub, makes, easy, plug, small, things, phones_ipods, well, mouse, keyboard, recommend, product;A great Cooling Pad!;This laptop cooler has a great big fan, sturdy base, and easy. It does have a 4 hub port. BUT if you use it, only use it for charging small items, like your iPod. If you plug your external hard drive up to it you will need to make sure that you unplug it every time you turn off your laptop. The cooling pad USB Hub does not gently turn off our external hard drive correctly. Lost everything on it. However, knowing that I think this is a great cooling pad and the hub makes it easy to plug in your small things like phones and iPods as well as a mouse and keyboard. So I recommend this product.;2;3
5914745;5;recommend, yourselfers, cable, excellent, came, professional, ends, ends, price, several, dollars_cheaper, than, department_store;I recommend this for any do it yourselfers!!!;This cable is excellent is came with professional ends on both ends and the price was several dollars cheaper than any department store.;2;4
3211866;2;service, center, said, main, circuit_board, bad, replacement, circuit_board, back, order, returned, first, receiver, four_months, hdmi, selection, switch, automatically, months, attempting, corrected, pioneer, technical_support, finally_agreed, ship, service_center, cost, service_center, said, main, circuit_board, bad, replacement, circuit_board, back, order, months, service_center, many, phone_calls, pioneer, agreed, replace, receiver, grade, replacement, reconditioned, unacceptable, finally, writing, pioneer, gave, full_refund, pioneer, customer_service, sucks, tech_support, wait, times, minutes, average, functionally, great, receiver, price, working, app, control, software, zone, function, make, great_value, receiver, problems, need, servicing, good_luck;The service center said that the main circuit board was bad, but replacement circuit board was on back order;"I returned my first receiver after four months. The HDMI selection would switch automatically and after months of attempting to get this corrected with Pioneer technical support they finally agreed to ship to service center at my cost. The service center said that the main circuit board was bad, but replacement circuit board was on back order.

After two months in the service center and many phone calls to Pioneer, they agreed to replace the receiver with B Grade replacement (reconditioned) which was unacceptable to me. Finally, after writing to Pioneer the gave me a full refund. Pioneer customer service sucks and tech support wait times are about 30 -40 minutes on average.

Functionally, this a great receiver for the price when working. The app control software and two zone function make this a great value; however, if the receiver has any problems that need servicing, good luck!";10;1
5710030;1;impossible, setup, bought, cameras, thinking, nice, alternative, nestcam, feature, ability, record_locally, spent_hours, trying, camera, going, never_succeeded, camera, seemed, connect, solid, green_light, app, continued, say, camera, offline, android_ios, tried, website, totally, non_functional, telling, needed, install, plugin, supported, chrome, microsoft, edge_browser, continues, insist, plugin, not, installed, right, installing, frustrating_experience, going, back;Impossible Setup;I bought two of these cameras thinking they would be a nice alternative to the nestcam because they feature the ability to record locally. I spent two hours trying to get the camera going and never succeeded. The camera itself seemed to connect and had a solid green light but the app continued to say the camera was offline both on Android and iOS. I tried the website and it was also totally non-functional telling me I needed to install a plugin which isn't supported at all in Chrome and in Microsoft's Edge Browser just continues to insist that the plugin is not installed even right after installing it. Very frustrating experience. They are going back.;2;0
2565679;1;star, bad, quality;One Star;bad quality;1;0
2658248;4;reliable, camera, price, purchased, dash_cam, month_ago, seeing, earlier, view, russian, word, language, looks, easy, change, menu, english, instalation, easy, wide_angle, view, forward, looking, cameral, ensures, vehicles, overtaking, either, side, seen, increases, likelihood, recording, incident, occurs, outside, front, center, makes, everything, appear, small, not, possible, read_license, plates, since, camera, records, sound, overcome, simply, reading, out, loud, license_plate, number, vehicle, raises, suspicions, initially, camera, turn, stopped, sensing_motion, turn, back, started, moving, turning, process, takes, five_seconds, concerned, believe, first, five_seconds, starting, intersection, probably, likely, times, hit, someone, running, red_light, went, menu, turned, motion_sensor, not, records, whenever, power, keeps, display, whole, time, memory_card, tiny, fingers, big, clumsy, still, out, without, much_ado, honest, first, camera, pulling, card, out, viewing, recordings, computer, wathching, uneventful, trips, made, stopped, figure, pull, card, out, incident, inconvenience, trying, out, top, camera, not, really, much, factor, gave, camera, four_stars, records, video, well, sound, pretty, well, everything, want, application, uses, googlemaps, track, trip, pretty_cool, well, features, pretty_impressive, decide, another, car, another;Very Reliable Camera for the price;"I purchased this dash cam about a month ago.  After seeing an earlier view about what the Russian word for ""language"" looks like, it was easy to change the menu over to English.  After that, instalation was easy.  The wide angle view on the forward looking cameral ensures that vehicles overtaking you on either side can be seen and increases the likelihood of recording an incident that occurs outside of front and center.  However, it also makes everything appear small, so it is not possible to read license plates.  Since the camera records sound, you can overcome this by simply reading out loud the license plate number of any vehicle that raises your suspicions.
Initially, the camera would turn itself off when it stopped sensing motion.  It would then turn itself back on when I started moving again.  The turning on process takes about five seconds.  I was concerned, as I believe the first five seconds after starting through an intersection is probably one of the most likely times to get hit by someone running a red light.  I went to the menu and turned the motion sensor off.  Now it not only records whenever it has power, it also keeps the display on the whole time.
The memory card is tiny, and my fingers are big and clumsy, but I can still get it in and out without much ado.  To be honest, when I first got the camera, I was pulling the card out and viewing the recordings on my computer.  But after a while of wathching uneventful trips I had just made, I stopped.  Now I figure, that I'll only pull the card out if there was an incident, so the inconvenience of trying to get it out of the top of the camera is not really much of a factor.
I gave this camera four stars because it records video very well and sound pretty well and does everything I want it to.  (The application that uses googlemaps to track your trip is pretty cool as well).  All of these features for ~$80 is pretty impressive.  If I decide to get another for our other car, I'll get another one of these.";3;3
2792998;4;four_stars, came, handye;Four Stars;came in handye;1;3
5704441;2;stars, bought, arrived_broken, switch, still, box;Two Stars;I bought two! One arrived with a broken switch still in box.;1;1
2741611;2;nonfunctional, out, box, device, shows, no_signs, life, plugged, pressed, switch, button, attached, tv, media_player, device, every, possible, way, not, route, hdmi, signals, inputs, output, tested, power_supply, multimeter, know, working, jack, side, switch, not, satisfying, feel, plugged, feels, wiggly, maybe, inside, box, not, properly, soldered, place, not, ir_remote, plug, power, plug, close_together, switch, work, unhappy, close, connectors, cables, actually, touch, another, inserted, pushing, high_hopes, device, loved, auto_switching, capability, boasted, love, size, boxed, sent, back, amazon, refund;Nonfunctional out-of-the-box;"The device shows no signs of life.  I've plugged it in, pressed the switch button, attached it to my TV and media player device in every possible way, but this thing doesn't route HDMI signals from any of the inputs to the one output.

I've tested the 5V power supply with a multimeter and I know it's working.  The jack on the side of this switch doesn't have a very satisfying feel when it's plugged in.  It feels wiggly.  Maybe there's something inside the box that's not properly soldered in place.

I also don't like how the IR remote plug and the 5V power plug are so very close together.  Even if the switch did work, I would be unhappy about how close these two connectors are.  The cables actually touch one another when they're both inserted, each pushing against the other.

I had high hopes for this device, I loved the auto-switching capability that it boasted, and I love the size of it, but it's being boxed up now and sent back to Amazon for a refund.";3;1
6002854;4;still_testing, used, far, tried, set, manual, keeps, going, ttl_mode, not, sure, yet, appears, work, really, good, ttl;Still testing;Used it once so far.. i tried to set to manual but it keeps going to TTL mode. Not sure just yet why. But it appears to work really good in TTL.;1;3
5689623;4;four_stars, handy;Four Stars;This thing is handy...... get it.;1;3
1135165;3;excellent, part, works, excellent, problem, turning, shift, align, tilt, requires, trip, factory, not, functional, hoped, lens, user, rotated, not, nikon, nikon, redesign, lens, allow, user, rotation, align, tilt_shift, problem, nikon_mm, pc, designed, limited, not, user, rotated;Excellent, But ---;"The part that works is excellent. The problem is turning the shift to align with tilt requires a trip to the factory. So it is not as functional as I hoped. Other T/S lens can be user rotated, not Nikon. Nikon should redesign this lens to allow user rotation to align tilt and shift.

Same problem for the Nikon 85mm PC-E -- designed to be limited and not user rotated.";1;2
4114971;1;substandard, cables, bought, ft_ft, pack, black, cables, used, fire, synology_nas, box, noticed, nas, interface, reading, mbps, warning, synology, console, regarding, gig, interface, set, mbps, research, matter, thinking, cables, good, findings, pointing, cables, borrowed, form, friend, swapped, cables, bingo, synology, start, showing, proper, readings, gig, interface, speed, improved_significantly, link, light, nighthawk_router, turned, white, amber, well, noticed, cables, come, no, printing, temp, rating, gauge, quality, cable, manufactured, based, network, standards, must, printing, not, waste, money, time, product, utter_junk, returning, back, seller;Substandard Cables;"I bought 3ft and 1.5 ft 5 pack black cables. I used them to fire up my Synology NAS box and noticed that NAS interface is reading 100Mbps and there was a warning in Synology console regarding 1Gig interface being set to 100Mbps.
I did some research on the matter (thinking that my cables were good). All my findings were pointing me to cables. I borrowed one form a friend. I swapped the cables and bingo! Synology start showing proper readings of 1GIG interface and speed improved significantly. The link light in my Nighthawk router turned to white from amber as well.

Noticed that these cables come with no printing on them, like temp rating, gauge or any thing. Any quality cable that is manufactured based on network standards must have such printing on them.

Don't waste your money and time for this product, it is utter junk. I ma returning this back to seller.";2;0
1743295;3;perfect, minor_improvements, purchased, package, along, additional, transmitters, receiver, linked, home_automation, system, motion, occurs, transmitter, sends_signal, receiver, relay_outputs, relay_outputs, trigger, events, home_automation, system, turning, lights, made, purchase, product, competitors, relay_outputs, rf, station, flexibility, configuration, jumpers, example, adjusting, jumper, change, time, relay_outputs, last, second, seconds, minute, minutes, transmitter, jumpers, adjust, whether, led_flashes, measurement, range, various_settings, setup, works, well, time, motion_sensors, not, trigger, time, every, walk, directly, motion_sensor, path, nothing_happens, know, dakota_alert, weak_point, not, home_automation, equipment, red_led, transmitters, not, go, motion_sensors, fail, trigger, contrast, every_time, red_led, goes, setup, works, expected, motion_sensors, used, trigger, type, failure, not, occur, certain, competitors, difference, may, relate, dakota, motion_sensor, triggering, narrow, line, competitors, triggering, degree, range, gives, far, opportunities, try, missed, event, similarly, want, trigger, cars, pass, motion_sensor, longer_periods, instead, people, might, not, problem, complaint, not, setting, trigger, full, countdown, expired, example, motion_sensor, triggered, every, minutes, relay, out, jumper, set, last, minutes, expect, relay, out, never, go, since, triggered, minutes, instead, receiver, counts, minutes, first, trigger, turns, ignoring, triggers, occur, minute, period, configuration_options, surprised, support, triggers, suppose, users, not, care, relay_outputs, trigger, cars, instead, people, dakota_alert, might, exactly, looking, though;Could be perfect with some minor improvements;"I purchased this package along with 3 additional transmitters.  I have the receiver linked to my home automation system.  When motion occurs on the transmitter, it sends a signal to the receiver relay outputs, and the relay outputs trigger events in my home automation system, such as turning on lights.  What made me purchase this product over competitors is having relay outputs on the RF station and flexibility in configuration with the jumpers.  For example, by adjusting jumper 4, one can change the time the relay outputs last -- 1 second, 10 seconds, 1 minute, or 10 minutes.  On the transmitter, jumpers can adjust whether the LED flashes, the measurement range, and various other settings.

This setup works well most of the time.  However, the motion sensors don't trigger 100% of the time.  Every now and then I'll walk directly through the motion sensor path, and nothing happens.  I know the Dakota Alert is the weak point and not my home automation equipment because the red LED on the transmitters does not go off when the motion sensors fail to trigger.  In contrast every time the red LED goes on, the setup works as expected.  Other motion sensors I've used trigger 100%, so this type of failure does not occur with certain competitors.  This difference may relate to the Dakota motion sensor only triggering on a narrow line, while competitors triggering on >90 degree range, which gives far more opportunities to try again after a missed event.  Similarly if you want to trigger on cars that pass through the motion sensor for longer periods instead of people, then you might not have a problem.

My other complaint is not having a setting to re-trigger until the full countdown has expired.  For example, if the motion sensor is triggered every 5-9 minutes and the relay out jumper is set to last 10 minutes, then I'd expect the relay to out to never go off since it is getting re-triggered before the 10 minutes are up.  Instead the receiver counts 10 minutes from the first trigger, then turns off, ignoring all re-triggers that occur in that 10 minute period.  With all the configuration options, I'm surprised, there isn't one to support re-triggers.

I suppose most users don't care about the relay outputs and trigger on cars instead of people, so the Dakota Alert might be exactly what you are looking for, even though it wasn't for me.";2;2
5752551;3;powers, hours, continue, powers, hours, continue, use;It powers off after 1. 5 hours of continue ...;It powers off after 1.5 hours of continue use.;3;2
6504792;4;four_stars, gooood;Four Stars;GOOOOD;1;3
4162055;4;best, receiver, receiver, unreal, price, plenty, hdmi_inputs, audio, video, love, rich, sounds, different, sound, choices, beat, price, checked, everywhere, best, price;The Best 4K Receiver under $200!;This 4K Receiver is unreal for the price. There are plenty of HDMI inputs for your audio and video . We love the rich sounds and the different sound choices. You can't beat the price as we checked everywhere and this was the best price.;2;3
544053;1;not, work, pc, win, bit, pc, install, appears, complete, reboot, no, audio, ever, comes, out, headset, pair, worthless;Doesn't work on my pc;Win 7 64 Bit PC, install appears to complete, reboot and no audio ever comes out of headset even after I pair it.  Worthless.;3;0
4150083;4;daughter_loves, daughter_loves;My daughter loves these!;My daughter loves these!;1;3
3248880;5;good, reception, sound, good, radio, use, often;Good reception and sound.;Good radio. I use it often.;3;4
5767838;2;graphic, washed_out, lightroom, lighthouse, ocean, disappointed, look, pic, light, washed_out, not, find, pretty, person;Graphic is washed out;I got lightroom, the lighthouse in the ocean.  Very disappointed in the look, pic is very light and washed out. I didn't find it pretty in person at all.;2;1
4223971;1;star, flimsy;One Star;Very flimsy;1;0
788779;3;expensive, choices, title, said, expensive, battery, probably, cost, make, charging, not, really, choice, matter, alternative, generic, battery, might, cause, certain, problems, vixia_hf, camera, better, go, oem;Expensive but what other choices do you have;Like the title said, EXPENSIVE! The battery probably cost $10 to make and they're charging $50 for it. I did not really have a choice in the matter as the alternative, generic battery, might cause certain problems for the Vixia HF S100 camera. So better to go with the OEM.;2;2
1018539;1;doa, no, dvd, no, blu, bought, second, blu_ray, player, bedroom, watch_movies, bed, hooked, never, round, watching_movie, week, planning, update, enable, bd_live, never, around, wife, going, watch_movie, queen, told, playing, display, said, no, disc, told, try, dvd, happened, home, experienced, different, blu_ray, movies, almost, tried, firmware_update, mad, told, self, need, done, enable, player, sold, play, movies, quite, upsetting, refunding, waiting, better, player;DOA - No DVD/ No Blu for You;"I bought this as a second Blu-ray player for the bedroom so we could watch our movies in bed.  We hooked it up and never got a round to watching a movie for about a week.

I was planning to do the update to enable BD-Live, but never got around to it.

My wife was going to watch a movie (The Queen) and she told me it wasn't playing and the display said No Disc.  I told her to try a DVD, but the same thing happened.  I got home and experienced the same thing with 3 different Blu-ray movies.

I almost tried doing the firmware update, but I was so mad I just told my self that it shouldn't need to be done to enable the player to do what it was sold to do, play movies.  This was quite upsetting.  I'm just refunding and waiting on a better player.";5;0
2528966;1;not, sturdy, breaks_easily, not, flexible_enough, jawbone;Not sturdy;Breaks Easily and not flexible enough for my jawbone.;2;0
6347473;4;work, well, costly, canon, batteries, good, expensive, buy, reasonable;Work well but to costly;Canon batteries are good. But to expensive. I would buy more it they were more reasonable.;3;3
2822541;5;great, earbuds, use, earbuds, cell_phone, hands_free, driving, easy, use, hear, person_talking, clearly;Great Earbuds!;I use these earbuds for my cell phone for hands free driving. They are easy to use and you can hear the person you are talking to clearly.;2;4
6607329;2;stars, not, low_profile, enough;Two Stars;Not low profile enough;1;1
